File Containing SKUs by Product,,
SKU,Parent,Code
Nutzo Bar_EN,Nutzo Bar,P001EN
Nutzo Bar_FR,Nutzo Bar,P001FR
Nutzo Bar_SP,Nutzo Bar,P001SP
Nutzo Bar_GE,Nutzo Bar,P001GE
Nutzo Bar_IT,Nutzo Bar,P001IT
Nutzo Bar_IN,Nutzo Bar,P001IN
Nutzo Bar_JA,Nutzo Bar,P001JA
Raising the Bar_EN,Raising the Bar,P002EN
Raising the Bar_FR,Raising the Bar,P002FR
Raising the Bar_SP,Raising the Bar,P002SP
Raising the Bar_GE,Raising the Bar,P002GE
Raising the Bar_IT,Raising the Bar,P002IT
Raising the Bar_IN,Raising the Bar,P002IN
Raising the Bar_JA,Raising the Bar,P002JA
Cookie Crumbs_EN,Cookie Crumbs,P003EN
Cookie Crumbs_FR,Cookie Crumbs,P003FR
Cookie Crumbs_SP,Cookie Crumbs,P003SP
Cookie Crumbs_GE,Cookie Crumbs,P003GE
Cookie Crumbs_IT,Cookie Crumbs,P003IT
Cookie Crumbs_IN,Cookie Crumbs,P003IN
Cookie Crumbs_JA,Cookie Crumbs,P003JA
Do-nutty Buncha Munch_EN,Do-nutty Buncha Munch,P004EN
Do-nutty Buncha Munch_FR,Do-nutty Buncha Munch,P004FR
Do-nutty Buncha Munch_SP,Do-nutty Buncha Munch,P004SP
Do-nutty Buncha Munch_GE,Do-nutty Buncha Munch,P004GE
Do-nutty Buncha Munch_IT,Do-nutty Buncha Munch,P004IT
Do-nutty Buncha Munch_IN,Do-nutty Buncha Munch,P004IN
Do-nutty Buncha Munch_JA,Do-nutty Buncha Munch,P004JA
Nougats-N-Cream_EN,Nougats-N-Cream,P005EN
Nougats-N-Cream_FR,Nougats-N-Cream,P005FR
Nougats-N-Cream_SP,Nougats-N-Cream,P005SP
Nougats-N-Cream_GE,Nougats-N-Cream,P005GE
Nougats-N-Cream_IT,Nougats-N-Cream,P005IT
Nougats-N-Cream_IN,Nougats-N-Cream,P005IN
Nougats-N-Cream_JA,Nougats-N-Cream,P005JA
Nougatacious_EN,Nougatacious,P006EN
Nougatacious_FR,Nougatacious,P006FR
Nougatacious_SP,Nougatacious,P006SP
Nougatacious_GE,Nougatacious,P006GE
Nougatacious_IT,Nougatacious,P006IT
Nougatacious_IN,Nougatacious,P006IN
Nougatacious_JA,Nougatacious,P006JA
High noon bar_EN,High noon bar,P007EN
High noon bar_FR,High noon bar,P007FR
High noon bar_SP,High noon bar,P007SP
High noon bar_GE,High noon bar,P007GE
High noon bar_IT,High noon bar,P007IT
High noon bar_IN,High noon bar,P007IN
High noon bar_JA,High noon bar,P007JA
CooCoolicious_EN,CooCoolicious,P008EN
CooCoolicious_FR,CooCoolicious,P008FR
CooCoolicious_SP,CooCoolicious,P008SP
CooCoolicious_GE,CooCoolicious,P008GE
CooCoolicious_IT,CooCoolicious,P008IT
CooCoolicious_IN,CooCoolicious,P008IN
CooCoolicious_JA,CooCoolicious,P008JA
That's a Fine Howdy Do!_EN,That's a Fine Howdy Do!,P009EN
That's a Fine Howdy Do!_FR,That's a Fine Howdy Do!,P009FR
That's a Fine Howdy Do!_SP,That's a Fine Howdy Do!,P009SP
That's a Fine Howdy Do!_GE,That's a Fine Howdy Do!,P009GE
That's a Fine Howdy Do!_IT,That's a Fine Howdy Do!,P009IT
That's a Fine Howdy Do!_IN,That's a Fine Howdy Do!,P009IN
That's a Fine Howdy Do!_JA,That's a Fine Howdy Do!,P009JA
Dr. Mocho_EN,Dr. Mocho,P010EN
Dr. Mocho_FR,Dr. Mocho,P010FR
Dr. Mocho_SP,Dr. Mocho,P010SP
Dr. Mocho_GE,Dr. Mocho,P010GE
Dr. Mocho_IT,Dr. Mocho,P010IT
Dr. Mocho_IN,Dr. Mocho,P010IN
Dr. Mocho_JA,Dr. Mocho,P010JA
Craklin Nikklins_EN,Craklin Nikklins,P011EN
Craklin Nikklins_FR,Craklin Nikklins,P011FR
Craklin Nikklins_SP,Craklin Nikklins,P011SP
Craklin Nikklins_GE,Craklin Nikklins,P011GE
Craklin Nikklins_IT,Craklin Nikklins,P011IT
Craklin Nikklins_IN,Craklin Nikklins,P011IN
Craklin Nikklins_JA,Craklin Nikklins,P011JA
Franutbutter Krisp_EN,Franutbutter Krisp,P012EN
Franutbutter Krisp_FR,Franutbutter Krisp,P012FR
Franutbutter Krisp_SP,Franutbutter Krisp,P012SP
Franutbutter Krisp_GE,Franutbutter Krisp,P012GE
Franutbutter Krisp_IT,Franutbutter Krisp,P012IT
Franutbutter Krisp_IN,Franutbutter Krisp,P012IN
Franutbutter Krisp_JA,Franutbutter Krisp,P012JA
Unichunky Krisp_EN,Unichunky Krisp,P013EN
Unichunky Krisp_FR,Unichunky Krisp,P013FR
Unichunky Krisp_SP,Unichunky Krisp,P013SP
Unichunky Krisp_GE,Unichunky Krisp,P013GE
Unichunky Krisp_IT,Unichunky Krisp,P013IT
Unichunky Krisp_IN,Unichunky Krisp,P013IN
Unichunky Krisp_JA,Unichunky Krisp,P013JA
PlanutButter Krisp_EN,PlanutButter Krisp,P014EN
PlanutButter Krisp_FR,PlanutButter Krisp,P014FR
PlanutButter Krisp_SP,PlanutButter Krisp,P014SP
PlanutButter Krisp_GE,PlanutButter Krisp,P014GE
PlanutButter Krisp_IT,PlanutButter Krisp,P014IT
PlanutButter Krisp_IN,PlanutButter Krisp,P014IN
PlanutButter Krisp_JA,PlanutButter Krisp,P014JA
Anapoppers_EN,Anapoppers,P015EN
Anapoppers_FR,Anapoppers,P015FR
Anapoppers_SP,Anapoppers,P015SP
Anapoppers_GE,Anapoppers,P015GE
Anapoppers_IT,Anapoppers,P015IT
Anapoppers_IN,Anapoppers,P015IN
Anapoppers_JA,Anapoppers,P015JA
