merchant,industry,first_charge_date,country,business_size,subscription_volume,checkout_volume,payment_link_volume,total_volume,last_transaction_date,subscription_share,tenure_days
5d03e714,Education,2032-02-13 00:00:00+00:00,US,medium,0,0,0,821893288,2042-06-22 00:00:00+00:00,0.0,3782.0
da22f154,Others,2031-10-16 00:00:00+00:00,US,small,0,0,7700,26939965,2042-06-22 00:00:00+00:00,0.0,3902.0
687eebc8,Software,2032-07-23 00:00:00+00:00,US,small,23443156,0,0,23443156,2042-06-22 00:00:00+00:00,1.0,3621.0
de478470,Software,2033-03-15 00:00:00+00:00,US,small,45038624,0,0,45038624,2042-06-22 00:00:00+00:00,1.0,3386.0
1e719b8a,Business services,2035-02-12 00:00:00+00:00,IT,small,0,69162449,0,69162449,2042-06-22 00:00:00+00:00,0.0,2687.0
15f61630,Software,2032-05-27 00:00:00+00:00,US,small,0,0,0,115391804,2042-06-22 00:00:00+00:00,0.0,3678.0
cede5ccf,Software,2032-03-27 00:00:00+00:00,US,small,595000,0,0,595000,2042-06-01 00:00:00+00:00,1.0,3739.0
11f1600c,Software,2039-02-28 00:00:00+00:00,US,small,0,0,0,12160100,2042-06-21 00:00:00+00:00,0.0,1210.0
ef38009f,Software,2032-01-27 00:00:00+00:00,US,large,3965123,0,0,3965123,2041-08-30 00:00:00+00:00,1.0,3799.0
a8120205,Software,2032-03-16 00:00:00+00:00,US,small,165032895,0,4386160,170550211,2042-06-22 00:00:00+00:00,0.9676499022331905,3750.0
c6a8d5f6,Electronics,2033-03-16 00:00:00+00:00,US,small,1225000,2814550,0,2817050,2042-06-22 00:00:00+00:00,0.43485206155375306,3385.0
7b74f587,Software,2032-07-05 00:00:00+00:00,US,small,11016706,0,0,11527906,2042-06-22 00:00:00+00:00,0.9556554329988465,3639.0
bca92c20,Education,2033-04-12 00:00:00+00:00,US,large,696477233,0,0,18285063069,2042-06-22 00:00:00+00:00,0.03808995519303341,3358.0
3e103224,Others,2033-11-12 00:00:00+00:00,US,small,2317659,0,0,11837895,2042-06-22 00:00:00+00:00,0.19578303406137662,3144.0
9639f135,Others,2037-01-09 00:00:00+00:00,US,small,0,0,0,4808517,2042-06-22 00:00:00+00:00,0.0,1990.0
e95b3f42,Personal services,2032-12-03 00:00:00+00:00,US,small,2052012,0,0,52842975,2042-06-22 00:00:00+00:00,0.03883225726787714,3488.0
228f5de6,Education,2032-10-11 00:00:00+00:00,US,small,3134640,0,0,163634725,2042-06-22 00:00:00+00:00,0.01915632516264503,3541.0
8c1c5b9b,Business services,2033-09-03 00:00:00+00:00,US,small,12050952,0,0,27500351,2042-06-22 00:00:00+00:00,0.43821084319978315,3214.0
b98c1079,Software,2032-10-12 00:00:00+00:00,US,small,0,0,0,12283500,2042-06-20 00:00:00+00:00,0.0,3540.0
2902587d,Software,2033-09-16 00:00:00+00:00,CA,small,3367102,0,0,3367102,2042-06-22 00:00:00+00:00,1.0,3201.0
ea2296a3,Others,2033-03-22 00:00:00+00:00,US,small,0,0,0,19157939,2042-04-29 00:00:00+00:00,0.0,3379.0
f131125a,Software,2033-01-28 00:00:00+00:00,US,small,0,0,0,20539280,2042-06-22 00:00:00+00:00,0.0,3432.0
527b096d,Digital goods,2040-06-29 00:00:00+00:00,GB,small,0,0,0,1798253,2042-06-22 00:00:00+00:00,0.0,723.0
c382847f,Business services,2033-03-15 00:00:00+00:00,US,small,0,0,0,33198490,2042-06-22 00:00:00+00:00,0.0,3386.0
d2da8409,Software,2033-08-06 00:00:00+00:00,US,small,14427040,0,0,15477340,2042-06-22 00:00:00+00:00,0.9321395020074509,3242.0
73de0b2b,"Religion, politics & other memberships",2032-11-20 00:00:00+00:00,US,small,0,0,0,1097250,2042-06-20 00:00:00+00:00,0.0,3501.0
440bb7ed,Merchandise,2032-12-07 00:00:00+00:00,US,small,0,0,0,1179614,2042-06-17 00:00:00+00:00,0.0,3484.0
ff0f10db,Software,2033-04-23 00:00:00+00:00,CA,small,39220549,0,0,58226534,2042-06-22 00:00:00+00:00,0.6735854996967534,3347.0
98026d57,Software,2034-04-05 00:00:00+00:00,GB,small,0,0,0,8120350,2042-06-06 00:00:00+00:00,0.0,3000.0
7ae879f1,Personal services,2034-12-14 00:00:00+00:00,CA,small,860446,0,0,866146,2042-06-20 00:00:00+00:00,0.993419123334865,2747.0
d6311a65,Education,2034-08-11 00:00:00+00:00,US,small,0,0,0,3524177,2042-06-22 00:00:00+00:00,0.0,2872.0
cda65088,Software,2033-10-10 00:00:00+00:00,GB,small,15665986,0,0,16061299,2042-06-22 00:00:00+00:00,0.9753872336228844,3177.0
e99b732e,Business services,2034-02-25 00:00:00+00:00,US,small,0,0,0,14837250,2042-06-22 00:00:00+00:00,0.0,3039.0
3248de01,Others,2033-10-18 00:00:00+00:00,US,small,0,0,0,3020378,2042-03-05 00:00:00+00:00,0.0,3169.0
69922557,Business services,2041-01-08 00:00:00+00:00,NL,small,303757121,0,0,304117247,2042-06-22 00:00:00+00:00,0.9988158317111163,530.0
